pm25,pm10,no2,so2,co,o3,AQI
55.85999999999999,111.6,10.0,1.0,27.0,10.0,174.59333333333333
52.919999999999995,104.0,16.0,2.0,27.0,15.0,152.48
27.489,63.622,15.0,4.0,29.0,20.0,138.62
25.872000000000003,60.034,21.0,6.0,30.0,22.0,124.75999999999999
24.255,56.160000000000004,14.0,2.0,26.0,14.0,121.46
26.334000000000003,55.64,16.0,5.0,28.0,20.0,128.72
28.413,55.328,13.0,1.0,30.0,20.0,140.6
40.589999999999996,56.26400000000001,10.0,6.0,29.0,19.0,152.48
43.56,57.2,11.0,4.0,30.0,16.0,164.35999999999999
32.571,57.616000000000014,18.0,3.0,23.0,15.0,176.24
46.53,57.20000000000001,16.0,2.0,14.0,15.0,182.17999999999998
46.53,55.848000000000006,14.0,3.0,12.0,16.0,182.17999999999998
46.53,55.224000000000004,7.0,3.0,11.0,9.0,176.24
43.56,55.01600000000001,16.0,4.0,12.0,8.0,164.36
28.413,55.64,17.0,8.0,12.0,14.0,146.54000000000002
26.334000000000003,56.056000000000004,10.0,5.0,15.0,14.0,128.72
24.255,56.68000000000001,19.0,3.0,16.0,7.0,116.83999999999999
24.255,53.144000000000005,12.0,4.0,18.0,9.0,116.83999999999999
26.333999999999996,49.19200000000001,7.0,4.0,18.0,10.0,128.71999999999997
28.412999999999997,47.42400000000001,9.0,2.0,15.0,4.0,146.54
43.56,47.84000000000001,4.0,1.0,15.0,9.0,158.42
43.56,48.775999999999996,5.0,2.0,17.0,7.0,164.36
43.56,48.984,19.0,6.0,20.0,7.0,164.36
30.492,49.192,11.0,8.0,19.0,2.0,164.36
30.492,46.800000000000004,11.0,5.0,18.0,3.0,164.36
43.56,42.848000000000006,11.0,3.0,18.0,3.5,170.29999999999998
46.53,38.89600000000001,10.0,1.0,17.0,4.0,182.17999999999998
49.50000000000001,39.416000000000004,7.0,2.0,17.0,4.5,188.11999999999998
46.53,39.93600000000001,13.0,1.0,16.0,5.0,188.12
46.53,40.45600000000001,19.0,3.0,16.0,22.0,182.17999999999998
32.571,44.616000000000014,11.0,4.0,16.0,21.0,182.17999999999998
46.53,48.776,15.0,3.5,16.0,22.0,182.17999999999998
46.53,50.12800000000001,12.0,3.0,17.0,11.0,188.12
49.50000000000001,50.336,11.0,2.0,17.0,11.0,194.06000000000003
49.50000000000001,49.4,10.0,1.0,17.0,11.0,200.0
49.50000000000001,44.51199999999999,9.0,1.5,17.0,12.0,200.0
49.50000000000001,39.208000000000006,9.0,2.0,18.0,22.0,200.0
49.50000000000001,35.88,8.0,1.0,18.0,22.0,198.68000000000004
48.84,33.176,9.0,1.0,19.0,22.0,194.22500000000002
47.27250000000001,31.616000000000003,8.0,2.0,20.0,12.0,186.635
45.705,30.472,6.0,2.0,21.0,25.0,178.54999999999998
44.79750000000001,31.408000000000005,10.0,3.0,22.0,24.0,167.66
41.8275,32.864000000000004,8.0,1.0,23.0,22.0,155.285
39.5175,33.384,11.0,1.0,26.0,12.0,146.375
28.239749999999997,33.904,13.0,3.0,26.0,22.0,145.05499999999998
28.817249999999994,34.32,10.0,1.0,26.0,23.0,149.67499999999998
41.8275,33.07200000000001,9.0,4.0,25.0,22.0,158.09
44.550000000000004,31.616000000000003,10.0,3.66666666666666,24.0,11.0,169.64
46.9425,31.616000000000003,11.0,3.33333333333333,23.0,22.0,180.20000000000002
47.10750000000001,31.928000000000004,9.0,3.0,21.0,49.0,180.85999999999999
44.88,34.84,3.0,1.0,19.0,21.0,171.29
42.157500000000006,37.752,2.5,1.0,20.0,11.0,161.88500000000002
29.6835,39.936,2.0,25.0,22.0,21.0,158.09
30.087750000000003,41.6,1.5,23.3333333333333,22.0,21.0,154.95499999999998
40.589999999999996,41.49600000000001,1.0,21.6666666666666,22.0,12.0,151.32499999999996
40.589999999999996,39.104000000000006,1.0,20.0,20.0,11.0,146.53999999999996
28.413,36.712,1.0,7.5,22.0,21.0,140.6
26.334000000000003,35.256,1.0,7.5,21.0,21.0,134.66000000000003
26.334000000000003,33.072,1.0,7.5,21.0,20.0,126.87200000000001
25.6872,32.344,1.0,7.5,20.0,21.0,127.82900000000001
38.0985,30.680000000000003,1.0,7.5,19.0,21.0,130.436
27.246450000000003,29.016000000000002,1.0,7.5,20.0,21.0,136.54100000000003
39.74850000000001,27.872000000000003,1.0,7.5,19.0,11.0,136.70600000000002
38.181000000000004,28.808000000000007,1.0,5.0,19.0,21.0,143.00900000000004
42.075,30.056,1.0,5.0,19.0,15.0,144.857
40.67250000000001,34.32,1.0,2.0,19.0,10.0,148.19000000000003
39.847500000000004,38.584,2.0,5.0,19.0,21.0,142.085
27.315750000000005,41.392,1.0,5.0,20.0,10.0,135.98000000000002
26.334000000000003,41.392,1.0,5.0,20.0,21.0,125.585
24.255,40.976000000000006,1.0,2.0,19.0,17.0,116.83999999999999
24.255,37.85600000000001,1.0,2.0,18.0,10.0,110.89999999999998
24.255,34.84,1.0,5.0,17.0,20.0,110.89999999999998
24.255,33.48800000000001,1.0,2.0,17.0,11.0,110.89999999999998
24.255,34.112,1.0,2.0,16.0,11.0,110.89999999999998
24.255,34.736,1.0,2.0,15.0,10.0,110.89999999999998
24.255,35.464000000000006,1.0,2.0,15.0,11.0,110.89999999999998
24.255,40.352,1.0,3.0,15.0,14.0,110.89999999999998
24.255,46.592,1.0,2.0,15.0,22.0,116.83999999999999
26.334000000000003,52.832,1.0,5.0,14.0,11.0,122.78000000000002
26.333999999999996,55.64,29.0,22.0,14.0,11.0,128.72
37.62,56.57599999999999,28.5,18.2,16.0,11.0,128.72
26.334000000000003,51.376000000000005,28.0,14.4,12.0,11.0,127.68050000000001
25.970175,42.848000000000006,27.5,10.6,10.4,11.0,117.3395
22.557149999999996,34.32,27.0,5.0,8.8,21.0,105.11200000000001
21.223125,29.432000000000006,23.0,3.0,7.2,11.0,92.209
20.010375,26.416,20.0,2.5,7.0,11.0,86.8925
18.797625000000004,24.856,17.0,2.0,4.0,11.0,81.80466666666668
17.6253,23.608000000000004,17.0,1.0,8.0,10.0,77.40283333333333
16.89765,22.36,16.0,1.0,7.0,21.0,73.687
16.17,22.048000000000002,12.0,1.0,7.0,21.0,71.286
15.927449999999995,22.438000000000002,16.0,1.0,7.0,11.0,70.24270833333333
16.15989375,23.946,16.0,1.0,7.0,11.0,73.73463888888888
18.63929375,28.8145,14.0,1.0,7.0,21.0,82.71456944444445
22.277543750000003,33.68300000000001,13.0,5.0,6.0,11.0,100.90731944444445
47.119625,54.260000000000005,10.0,2.375,7.0,21.0,119.28984722222224
49.471624999999996,54.42,12.0,2.375,9.0,5.0,138.84825
53.494,53.1,9.0,1.0,9.0,17.0,149.690125
54.019,47.85,13.0,3.0,9.0,25.0,155.1915
75.675,39.2,11.0,1.0,8.0,13.0,143.8615
66.12,34.0,10.0,1.0,9.0,14.0,124.6085
59.94000000000001,31.1,11.0,1.0,9.0,24.0,100.45577777777778
33.544,28.6,12.0,1.0,9.0,26.0,80.08640000000001
21.3384,25.8,13.0,1.0,11.0,12.0,60.012400000000014
9.99936,26.4,6.0,1.0,9.0,11.0,46.79373333333334
10.23456,27.0,7.0,1.0,9.0,11.0,41.32444444444445
11.007359999999998,27.9,7.0,2.0,9.0,21.0,45.9296888888889
22.069599999999998,29.0,6.0,1.875,10.0,6.0,53.379422222222225
26.126799999999996,30.6,12.0,1.75,10.0,7.0,62.96253333333334
30.183999999999997,31.2,12.0,1.625,11.0,7.0,68.93073333333334
29.742999999999995,30.1,4.0,2.375,11.0,13.0,68.89262222222223
26.077799999999996,27.5,12.0,2.375,10.0,6.0,61.113955555555556
20.6192,24.7,11.0,2.375,11.0,7.0,50.17828888888889
9.72552,22.5,4.0,2.375,11.0,6.0,39.38666666666668
3.8396399999999997,21.9,5.0,1.0,11.0,13.0,32.98555555555556
7.532279999999998,23.0,5.0,1.25,12.0,6.0,31.25111111111112
8.414279999999998,23.0,6.0,1.5,12.0,9.0,33.41333333333335
13.305599999999998,23.0,11.0,1.75,13.0,8.0,36.05000000000001
9.525599999999999,22.4,4.0,2.0,13.0,23.0,35.98777777777779
8.367239999999997,21.2,11.0,2.0,12.0,12.0,33.9837037037037
7.798839999999996,20.0,11.0,2.0,13.0,9.0,29.980740740740742
3.2496799999999983,20.0,3.0,2.0,13.0,7.0,26.712962962962962
9.626866666666661,23.4,3.33333333333333,2.0,13.6666666666666,8.66666666666666,25.484074074074073
3.434899999999997,26.8,4.0,2.0,15.0,12.0,28.439629629629625
4.3668799999999965,27.2,4.0,2.5,10.0,7.0,30.400740740740734
7.379399999999997,27.2,5.0,2.0,9.0,7.0,31.113703703703703
7.408799999999997,27.2,4.0,2.0,8.0,5.0,29.337777777777777
3.6955799999999983,26.4,3.0,1.0,7.0,3.0,28.36619047619048
3.007619999999999,26.36857142857142,4.0,1.0,6.0,6.0,28.34523809523809
2.9017799999999996,29.33714285714284,9.0,1.0,6.0,7.0,28.747619047619043
2.8958579999999987,30.53714285714284,6.0,1.0,6.0,3.0,30.53714285714285
5.9681159999999975,31.73714285714284,5.94285714285714,1.0,6.02666666666666,2.98571428571428,30.914920634920623
3.513257999999999,30.47047619047616,2.0,1.0,7.86666666666666,2.0,34.675391534391515
5.269137999999996,29.90190476190474,4.0,1.0,7.89333333333333,2.0,42.047560952380934
13.33379599999999,29.93333333333332,4.33333333333333,1.0,5.0,2.0,53.13377259259258
37.793333333333315,32.58333333333332,5.0,1.0,5.0,2.0,63.93262444444443
44.213333333333324,35.23333333333332,5.0,1.0,8.0,2.0,76.81755555555554
33.24799999999999,39.1,4.0,7.0,6.0,5.0,89.54918518518518
36.16799999999999,42.6,3.75,6.0,5.75,5.25,110.22548148148148
70.67999999999999,47.6,3.0,3.0,5.0,6.0,140.688
85.12,52.35,3.75,3.25,4.75,8.5,183.83333333333334
99.2,56.9,6.0,4.0,4.0,16.0,221.9186666666667
105.0,59.7,8.0,5.0,7.0,11.0,249.62000000000003
110.0,60.0,9.0,3.0,17.0,10.5,256.22
105.2,57.06666666666666,6.0,3.0,7.0,10.0,248.08
97.6,50.59999999999999,3.0,5.0,8.0,20.0,212.2166666666667
77.7,43.999999999999986,3.0,4.33333333333333,9.66666666666666,14.6666666666666,160.95344444444447
58.39,37.79999999999999,3.0,3.0,13.0,4.0,112.44244444444445
14.426999999999998,35.999999999999986,2.0,2.0,12.0,11.0,84.73922222222224
9.552899999999998,36.033333333333324,2.5,2.0,10.0,8.5,74.74322222222223
40.03,40.1,3.0,2.0,8.0,6.0,74.30766666666668
47.29,45.3,3.0,2.0,13.0,8.5,84.7408888888889
37.199999999999996,51.3,3.0,2.0,18.0,11.0,97.33277777777779
36.756,57.3,2.5,4.0,12.5,19.0,113.67200000000003
68.26,66.4,2.0,6.0,7.0,27.0,128.54400000000004
45.312000000000005,75.425,1.0,8.0,10.0,31.0,159.67400000000004
89.56,88.025,7.0,3.0,9.0,17.0,191.5773333333334
67.872,99.825,6.875,4.0,9.625,20.4444444444444,230.93866666666668
111.0,112.825,6.0,11.0,14.0,44.5555555555555,256.836
112.8,117.425,7.0,13.0,14.0,48.0,278.9769032843564
120.0,119.0,8.0,8.0,14.0,40.0,283.2386510772546
120.0,115.2,9.0,12.0,15.0,44.0,286.66243711435726
120.0,111.4,10.0,8.0,14.0,45.0,284.46727736664064
120.0,103.4,9.0,9.0,14.0,38.0,286.39484749668514
120.0,102.4,10.0,11.0,14.0,41.0,284.8143424856698
120.0,103.8,12.0,13.0,15.0,45.0,288.4154123146365
120.0,107.0,13.0,9.0,17.0,43.0,287.22376151488254
120.0,109.4,12.0,9.0,18.0,50.0,290.46290761796786
120.0,112.6,13.0,8.0,18.0,42.0,286.4947656770901
120.0,112.8,11.0,7.0,19.0,43.0,288.17367299132593
120.0,113.8,12.0,10.0,19.0,47.0,287.91831675545654
120.0,115.4,10.0,13.0,24.0,58.0,289.43865880885494
120.0,117.8,11.0,13.0,22.0,53.0,288.64992659137937
120.0,119.2,11.0,11.0,13.0,45.0,286.46498885121537
120.0,121.0,12.0,12.0,13.0,48.0,286.3777513378133
120.0,122.0,12.0,13.0,9.0,45.0,282.4699091178643
112.8,121.6,12.0,18.0,9.0,42.0,279.8277759647251
112.8,123.0,12.0,11.0,9.0,46.0,276.24
78.96,124.6,11.0,15.0,9.0,54.0,276.24
112.8,126.4,9.0,15.0,11.0,61.0,276.24
112.8,124.4,3.0,9.0,14.0,55.0,281.5958159447352
120.0,122.4,5.0,6.0,11.0,37.0,281.5958159447352
112.8,117.8,4.0,5.0,12.0,64.0,281.5958159447352
112.8,115.8,4.0,4.0,10.0,65.0,276.24
78.96,113.8,4.0,1.0,12.0,64.0,276.24
112.8,120.0,4.0,5.0,13.0,60.5,276.24
112.8,128.0,5.0,4.0,11.0,57.0,281.3442913157773
120.0,138.8,5.0,5.0,15.0,59.0,283.2118826471825
120.0,147.0,5.0,4.0,16.0,55.0,286.91040640260337
120.0,155.4,6.0,4.0,18.0,59.0,285.415660584838
120.0,159.4,6.0,6.0,18.0,58.0,289.1891979653749
120.0,155.6,6.0,2.0,20.0,49.0,287.73876842906117
120.0,149.8,5.0,6.0,19.0,62.0,286.38881113563474
120.0,149.6,4.0,3.0,17.0,46.0,284.36012556180134
120.0,149.2,6.0,1.0,19.0,53.0,283.6503737100831
120.0,148.8,6.0,2.0,19.0,57.0,286.2204934709934
120.0,154.4,6.0,3.0,20.0,60.0,285.0984682542832
120.0,161.6,6.0,5.0,19.0,58.0,287.2810123249938
120.0,164.2,6.0,5.0,21.0,59.0,288.38271593018936
120.0,166.8,7.0,4.0,21.0,55.0,288.6971649440496
120.0,166.8,6.0,3.0,22.0,59.0,290.8265902034071
120.0,163.4,6.0,5.0,21.0,63.0,286.29452729339437
120.0,156.4,7.0,12.0,21.0,62.0,288.9070415659017
120.0,148.4,6.0,5.0,19.0,61.0,284.76537371157946
120.0,140.4,6.0,4.0,19.0,59.0,288.9461952902506
120.0,133.2,6.0,4.0,20.0,63.5,288.72899084346164
120.0,128.0,6.0,8.0,21.0,68.0,290.64294913581534
120.0,121.6,6.0,7.0,21.0,47.0,287.32343754726884
120.0,115.2,7.0,7.0,22.0,29.0,285.9507585949502
120.0,111.2,6.0,9.0,21.0,37.0,283.6595395817083
120.0,109.0,6.0,3.0,21.0,47.0,286.65452972734647
120.0,108.2,7.0,7.0,23.0,58.0,288.2679223435728
120.0,112.4,6.0,6.0,22.0,60.0,290.47218096214846
120.0,117.8,6.0,5.0,23.0,59.0,290.00420904775893
120.0,125.6,6.0,8.0,21.0,57.0,288.2162787055166
120.0,134.0,6.0,8.0,24.0,52.0,289.5127229786974
120.0,142.4,6.0,8.0,25.0,56.0,284.7250460966456
112.8,146.8,8.0,6.0,27.0,61.0,273.15208601400326
105.6,149.6,8.0,6.0,27.0,67.0,260.40000000000003
73.91999999999999,148.0,10.0,12.0,34.0,59.0,252.47999999999996
73.91999999999999,148.0,13.0,20.0,30.0,62.0,252.47999999999996
105.6,148.0,12.0,13.0,14.0,57.0,260.40000000000003
112.8,150.2,9.0,4.0,6.0,65.0,272.70858310747775
120.0,152.4,9.0,6.0,10.0,56.0,283.7154819871029
120.0,154.2,10.0,5.0,9.0,50.0,283.7154819871029
112.8,150.2,11.0,4.0,8.0,58.0,279.32689887962516
112.8,146.2,12.0,5.0,9.0,58.0,276.24
78.96,147.0,13.0,7.0,9.0,64.0,276.24
112.8,149.6333333333332,17.0,10.0,10.0,65.0,276.24
112.8,152.2666666666664,18.0,8.0,11.0,37.0,282.0727139339707
120.0,157.6666666666664,16.0,13.0,21.0,5.0,287.36796886718315
120.0,160.4666666666664,18.0,12.5714285714285,19.1666666666666,5.5,289.9699370466876
120.0,156.4666666666664,28.0,10.4285714285714,10.0,8.0,287.2720151227864
120.0,151.03333333333322,22.0,10.0,18.0,61.0,281.976760189574
112.8,147.6,20.0,9.0,18.0,62.0,271.4547920100695
105.6,146.8,13.0,12.0,12.0,34.0,260.40000000000003
73.91999999999999,149.2,16.0,7.0,11.0,58.0,252.47999999999996
73.91999999999999,157.4,18.0,11.0,15.0,58.5,252.47999999999996
105.6,165.6,24.0,10.1666666666666,21.0,59.0,260.40000000000003
112.8,171.8,23.0,9.33333333333333,21.0,59.0,271.7204932373395
120.0,174.0,17.0,8.5,25.0,60.0,282.97205260304196
120.0,171.8,20.0,5.375,27.0,57.0,288.87749878296745
120.0,163.8,17.0,5.375,24.0,64.0,285.47700554562795
112.8,155.8,16.0,6.0,24.0,52.0,274.22544617992554
105.6,148.6,14.0,7.0,18.0,49.0,252.48000000000002
68.88,145.0,16.0,6.0,12.0,47.0,228.72000000000003
63.839999999999996,149.0,15.0,6.0,12.0,44.0,204.6266666666667
58.8,155.0,16.0,5.0,13.0,53.0,196.7066666666667
63.839999999999996,159.2,17.0,6.0,14.0,65.0,204.6266666666667
68.88,155.8,16.0,5.0,18.0,59.0,228.72000000000003
105.6,151.0,16.0,10.0,18.0,40.0,244.56000000000003
105.6,145.8,13.0,4.0,14.0,39.0,252.47999999999996
105.6,140.6,14.0,4.0,14.0,43.0,244.56000000000003
68.88,137.2,15.0,4.0,13.0,52.0,228.72000000000003
63.839999999999996,140.6,13.0,6.0,19.0,42.0,212.88000000000002
63.839999999999996,144.0,13.0,7.0,14.0,50.0,212.88000000000002
68.88,144.6,15.0,7.0,17.0,54.0,228.72000000000003
105.6,143.0,16.0,6.0,18.0,63.0,244.56000000000003
105.6,144.0,15.0,5.0,21.0,62.0,252.47999999999996
105.6,146.8,17.0,7.0,18.0,64.0,244.56000000000003
68.88,149.6,15.0,6.0,17.0,38.0,236.64000000000001
68.88,150.8,17.0,6.0,19.0,51.0,220.80000000000004
63.839999999999996,152.3333333333332,17.0,9.0,23.0,59.0,212.88000000000002
91.2,151.2666666666664,16.0,6.0,24.0,50.0,204.96
63.839999999999996,148.6666666666664,14.0,6.0,24.0,40.0,212.88000000000002
68.88,147.2666666666664,15.0,6.66666666666666,23.3333333333333,43.3333333333333,220.80000000000004
68.88,149.2666666666664,17.0,8.0,22.0,50.0,228.72000000000003
98.4,153.1333333333332,18.0,13.0,25.0,46.0,228.72000000000003
98.4,154.2,18.0,10.0,24.0,34.0,228.72000000000003
68.88,153.8,19.0,15.0,28.0,35.0,228.72000000000003
68.88,152.2,18.0,8.0,26.0,33.0,228.72000000000003
68.88,147.6,18.0,9.0,28.0,51.0,236.64000000000001
105.6,143.8,19.0,9.0,30.0,34.0,244.55999999999997
105.6,143.4,19.0,6.0,24.0,30.0,252.47999999999996
105.6,147.6,18.0,5.0,4.0,21.0,244.56000000000003
68.88,151.8,20.0,6.0,8.0,36.0,228.72000000000003
63.839999999999996,153.6,20.0,7.0,7.0,39.0,204.6266666666667
58.8,154.4,20.0,7.0,6.0,31.0,188.45333333333338
58.8,154.6,19.0,7.0,6.0,32.0,188.45333333333335
63.839999999999996,153.6,19.0,6.0,5.0,23.0,191.75333333333333
60.9,147.52,20.0,8.0,6.0,30.0,196.37333333333336
88.2,146.52,20.0,7.0,8.0,21.0,194.06000000000003
34.419000000000004,94.718,21.0,7.0,7.0,30.0,198.35333333333335
49.83,87.2921111111111,22.0,11.0,8.0,27.0,193.73333333333335
46.2,73.07011111111109,21.3333333333333,10.6666666666666,7.94444444444444,25.9444444444444,193.07333333333335
48.84,62.15011111111109,10.0,5.0,7.0,8.0,184.82000000000002
45.87,51.23011111111108,10.25,4.25,6.0,9.25,178.22000000000003
42.900000000000006,40.72611111111109,11.0,2.0,3.0,13.0,166.34000000000003
30.03,38.376,12.0,2.0,1.0,17.0,161.06000000000003
30.260999999999996,41.391999999999996,12.0,3.0,5.0,17.0,162.38000000000002
43.56,43.68000000000001,13.0,4.0,6.0,18.0,169.64000000000001
46.53,42.60533333333333,12.0,4.0,11.0,17.0,182.18000000000004
49.50000000000001,41.11466666666665,10.0,2.0,8.0,14.0,194.06000000000003
49.50000000000001,39.24266666666666,8.0,5.0,1.0,9.0,200.0
49.50000000000001,37.47466666666665,8.33333333333333,5.33333333333333,3.33333333333333,10.6666666666666,194.06000000000003
46.53,36.642666666666656,9.0,6.0,8.0,14.0,182.18000000000004
43.56,39.797333333333334,8.0,12.0,5.0,15.0,164.36
28.413,44.48752941176461,8.0,12.0,8.0,17.0,146.54000000000005
26.334000000000003,48.31105882352922,8.0,12.0,6.0,28.0,134.66000000000005
26.334000000000003,48.519058823529214,6.0,15.0,4.0,30.0,134.66000000000005
28.413,48.31105882352923,5.88235294117647,14.8823529411764,4.17647058823529,28.8235294117647,146.54000000000005
43.56,45.71105882352922,4.0,13.0,7.0,10.0,158.42000000000004
43.56,41.26352941176461,2.0,12.0,2.0,22.0,170.30000000000004
46.53,36.504000000000005,2.0,13.0,8.0,15.0,176.24
32.571,35.256,2.0,11.0,12.0,11.0,182.17999999999998
46.53,33.800000000000004,2.0,11.0,5.0,24.0,182.17999999999998
46.53,32.76,2.0,12.0,6.0,22.0,188.12
49.50000000000001,32.032,2.0,12.0,6.0,15.0,194.06000000000003
49.50000000000001,32.136,2.0,12.0,6.0,27.0,200.0
49.50000000000001,32.24,2.0,10.0,5.0,21.0,200.0
49.50000000000001,33.28,2.0,12.0,5.0,15.0,200.0
49.50000000000001,34.32,2.0,13.0,5.0,24.0,200.0
49.50000000000001,35.36,3.0,11.0,5.0,17.0,200.0
49.50000000000001,35.88,3.0,13.0,4.0,11.0,200.0
49.50000000000001,37.232000000000006,2.0,9.0,4.0,13.0,200.0
49.50000000000001,39.0,5.0,13.0,6.0,15.0,200.0
49.50000000000001,40.76800000000001,9.0,10.0,15.0,18.0,200.0
49.50000000000001,41.912000000000006,27.0,11.0,17.0,24.0,194.06000000000003
46.53,41.912000000000006,30.0,16.0,33.0,25.0,182.18000000000004
43.56,40.664,24.0,17.0,29.0,28.0,164.36
28.413,37.855999999999995,21.0,15.0,22.0,21.0,152.48000000000002
28.413,35.047999999999995,19.3333333333333,15.0,19.0,16.0,140.60000000000002
26.334000000000003,32.864000000000004,16.0,15.0,13.0,6.0,134.66000000000005
37.620000000000005,31.408000000000005,15.0,12.0,8.0,18.0,128.72000000000003
26.334000000000003,30.368,14.0,9.0,8.0,17.0,128.72000000000003
26.334000000000003,30.16,14.0,13.0,7.0,19.0,128.72000000000003
26.334000000000003,29.951999999999998,13.6666666666666,11.6666666666666,6.66666666666666,17.6666666666666,128.72000000000003
26.333999999999996,29.432000000000002,13.0,9.0,6.0,15.0,128.1425
37.33125,28.288000000000004,13.0,13.0,5.0,17.0,125.13949999999998
25.282949999999996,27.144000000000005,13.0,11.0,5.0,14.0,119.71099999999997
24.434025,26.104000000000003,13.0,12.0,6.0,12.0,108.46116666666666
21.506099999999996,25.064000000000004,12.0,14.0,4.0,11.0,98.55066666666669
20.738025,24.856,10.0,11.0,3.33333333333333,12.0,91.00850000000001
20.697599999999998,26.936000000000003,10.0,12.0,2.66666666666666,15.0,95.09733333333334
23.625524999999996,29.016000000000002,10.0,10.0,2.0,17.0,102.69783333333334
24.474449999999997,30.47200000000001,10.0,10.0,3.0,32.0,117.40100000000001
38.48625,32.76,10.0,12.0,15.0,25.0,141.6065
32.097449999999995,34.528000000000006,10.0,9.0,7.0,21.0,168.69950000000003
61.739999999999995,53.92,10.0,10.0,7.0,14.0,187.42700000000002
87.0,54.52,10.5,8.5,14.0,12.25,196.06533333333334
63.644,53.0,12.0,4.0,35.0,7.0,194.12933333333334
60.507999999999996,50.2,11.0,14.0,42.0,13.0,180.51133333333334
52.23399999999999,47.4,11.0,13.0,37.0,18.0,157.16600000000003
49.0,46.2,12.0,16.0,41.0,15.0,136.31
47.23599999999999,45.2,12.0,17.0,40.0,14.0,119.63768888888889
41.669599999999996,46.2,12.0,13.0,39.0,11.0,109.96648888888888
42.84559999999999,47.0,11.0,14.0,41.0,9.0,105.06928888888889
26.47176,48.0,12.0,13.0,39.0,6.0,110.99240000000002
45.3936,47.6,13.0,18.0,24.0,3.0,114.68840000000004
45.19760000000001,47.6,10.0,19.0,19.0,7.0,123.28160000000004
49.588,49.2,10.0,13.0,25.0,6.0,132.33680000000004
51.156,51.0,9.0,17.0,29.0,10.0,144.472
52.919999999999995,53.2,8.0,11.0,27.0,9.0,152.788
54.88,55.2,8.0,13.0,29.0,11.0,161.72000000000003
56.839999999999996,56.2,8.0,10.0,31.0,13.0,170.03600000000003
58.211999999999996,55.839999999999996,9.0,12.0,19.0,10.0,174.77920000000003
57.898399999999995,55.48,10.0,12.0,19.0,9.0,168.24960000000002
52.684799999999996,54.52,9.0,10.0,15.0,6.0,145.19118
43.53845999999999,51.12,9.4,12.4,12.4,5.8,113.41089333333333
20.213675999999992,46.32000000000001,11.0,22.0,2.0,5.0,82.16307333333334
7.152138,41.480000000000004,10.0,10.0,1.0,4.0,58.29216
4.435577999999999,36.64,10.0,12.0,1.0,3.0,41.95591333333335
3.1302179999999997,31.6,11.0,17.0,1.0,2.0,32.413333333333355
3.51036,29.0,12.0,11.0,1.0,4.0,29.51000000000002
3.519179999999999,27.6,17.0,11.0,3.0,6.0,31.476666666666688
8.865359999999997,26.6,30.0,7.0,4.0,4.0,33.30333333333335
4.344479999999999,25.6,9.0,6.0,3.0,8.0,35.25333333333335
12.160799999999998,28.6,8.0,6.0,3.0,8.0,35.13333333333335
4.679639999999999,32.2,7.0,7.0,4.0,6.0,42.32342222222224
6.949319999999999,36.8,7.0,5.0,3.0,6.0,53.285733333333354
16.628639999999997,42.4,7.0,7.0,3.0,6.0,69.19533333333335
35.51519999999999,48.13333333333333,7.0,5.0,3.0,7.0,90.59524444444446
46.08333333333333,50.06666666666666,7.0,5.0,3.0,7.0,106.26946666666667
44.691733333333325,50.93333333333333,5.0,4.0,4.0,5.0,107.53003703703705
53.05133333333333,51.13333333333333,1.0,7.0,3.0,4.0,93.62785185185186
19.682599999999997,49.13333333333333,1.0,6.0,3.0,3.0,80.26824444444446
9.2071,44.8,1.0,6.0,4.0,4.0,67.03807407407409
12.337919999999999,40.46666666666666,1.0,5.0,3.0,5.0,55.78470370370372
16.121999999999996,38.4,1.0,4.0,3.0,2.0,46.75111111111113
5.8602599999999985,36.8,1.0,4.0,4.0,4.0,46.07444444444445
5.913179999999999,35.0,1.0,6.0,4.0,5.0,42.74333333333335
4.383539999999999,34.33333333333332,1.0,4.0,4.0,4.0,38.46222222222223
8.455439999999998,33.66666666666664,2.0,5.0,1.0,4.0,33.591111111111125
4.071899999999999,30.86666666666664,1.66666666666666,4.66666666666666,1.66666666666666,4.0,32.113333333333344
3.8249399999999985,28.66666666666664,1.0,4.0,3.0,4.0,30.180000000000007
2.854739999999999,27.86666666666664,1.0,6.0,3.0,2.0,29.185555555555556
2.801819999999999,29.33333333333332,1.0,5.0,4.0,1.0,29.466666666666672
3.0105599999999986,31.2,2.0,7.0,5.0,3.0,31.711111111111126
4.074839999999998,34.6,2.0,5.0,6.0,2.0,38.32111111111113
6.194579999999999,38.0,2.75,4.5,6.25,3.0,47.39180000000002
14.505959999999996,41.4,5.0,3.0,7.0,6.0,61.00008888888891
31.467799999999993,44.2,4.0,4.0,12.0,7.0,75.87457777777779
23.60231999999999,46.6,4.0,3.0,13.0,6.0,93.92495555555557
44.452799999999996,48.0,4.0,3.0,13.0,6.0,108.4604
45.824799999999996,48.8,4.0,3.0,13.0,7.0,124.48280000000001
50.666,49.6,3.0,2.0,13.0,9.0,135.94039999999998
51.743999999999986,49.8,3.0,4.0,13.0,7.0,145.70399999999998
52.03799999999999,49.4,2.0,3.0,10.0,7.0,147.39799999999997
51.743999999999986,48.8,2.0,3.0,10.0,6.0,146.62799999999996
51.254,48.0,2.0,3.0,7.0,7.0,144.164
50.46999999999999,47.2,2.0,5.0,8.0,7.0,140.776
49.588,46.4,2.0,3.0,6.0,6.0,136.464
48.509999999999984,45.0,2.0,2.0,8.0,8.0,130.766
