pm25,pm10,no2,so2,co,o3,AQI
49.005,36.19200000000001,3.0,1.0,11.0,12.0,195.71
47.85,33.176,6.0,4.0,11.0,29.0,188.78
46.035000000000004,31.408,6.0,4.0,13.0,25.0,177.56000000000003
43.395,29.397333333333336,3.0,3.66666666666666,11.0,38.0,163.27833333333334
40.70916666666667,27.698666666666664,3.0,3.33333333333333,6.0,50.0,148.15333333333334
38.472500000000004,26.901333333333337,6.0,3.0,6.0,31.0,135.155
36.895833333333336,27.941333333333333,6.0,6.0,14.0,26.0,131.15833333333333
38.71083333333333,29.605333333333334,3.0,3.0,10.0,31.5,136.915
41.350833333333334,32.448,3.0,1.0,8.0,70.0,145.25666666666666
41.06666666666666,37.68266666666667,6.0,4.0,6.0,50.0,149.49166666666665
40.828333333333326,42.53600000000001,3.0,2.0,13.0,43.0,153.91
30.492,44.928000000000004,6.0,10.0,24.0,34.0,158.89666666666668
30.492,46.48800000000001,6.0,12.0,10.0,25.0,164.36
43.56,45.760000000000005,6.0,10.0,6.0,16.0,170.30000000000004
46.53,43.108000000000004,6.0,10.0,5.0,16.0,182.18000000000004
49.50000000000001,40.45600000000001,6.0,9.0,5.0,15.0,188.12
46.53,38.74,3.0,3.0,5.0,8.0,188.12
46.53,36.660000000000004,3.0,2.5,5.0,8.0,175.54700000000003
30.249449999999996,35.516000000000005,3.0,2.0,5.0,8.0,165.944
41.7285,33.176,3.0,1.0,4.0,8.0,151.22600000000003
27.4197,30.836000000000006,3.0,2.0,5.0,16.0,143.966
39.5835,29.119999999999997,6.0,10.0,6.0,16.0,135.71600000000004
37.603500000000004,29.951999999999998,3.0,3.0,17.0,8.0,139.21400000000003
40.92000000000001,31.616000000000003,6.0,8.0,6.0,16.0,138.91700000000003
39.435,36.22666666666667,6.0,9.0,5.0,16.0,141.75500000000002
39.02250000000001,40.837333333333326,6.0,8.0,6.0,16.0,143.07500000000002
29.105999999999998,44.546666666666646,5.0,10.0,6.0,16.0,151.32500000000002
30.492,46.52266666666665,6.0,9.0,6.0,8.0,154.46
40.59,47.35466666666665,6.0,8.0,6.0,8.0,158.42000000000004
43.56,45.96799999999999,6.0,7.0,6.0,8.0,158.42000000000002
30.491999999999994,44.58133333333334,6.0,2.0,6.0,8.0,158.42
40.589999999999996,43.57600000000001,5.0,4.0,5.0,16.0,146.53999999999996
26.333999999999996,42.84800000000001,6.0,10.0,5.0,16.0,134.65999999999997
26.333999999999996,42.95200000000001,3.0,3.0,5.0,16.0,122.77999999999997
24.255,43.056000000000004,3.0,4.0,5.0,8.0,116.83999999999999
24.255,43.160000000000004,3.0,4.0,5.0,8.0,110.89999999999998
24.255,43.056000000000004,3.6,5.2,5.0,9.6,110.89999999999998
24.255,42.95200000000001,6.0,10.0,5.0,16.0,110.89999999999998
24.255,42.64000000000001,3.0,3.0,5.0,16.0,110.89999999999998
24.255,40.87200000000001,3.0,10.0,5.0,8.0,110.89999999999998
24.255,38.79200000000001,6.0,10.0,6.0,16.0,110.3225
24.052875000000004,36.088,3.0,1.0,6.0,8.0,107.3195
23.20395,32.968,6.0,2.0,11.0,16.0,102.17533333333334
