date, pm25, pm10, o3, no2, co,location
2022-03-20,111,82,19,18,7,"Siddharth Nagar-Worli, Mumbai"
2022-03-21,153,70,18,4,8,"Siddharth Nagar-Worli, Mumbai"
2022-03-22,139,64,14,4,6,"Siddharth Nagar-Worli, Mumbai"
2022-03-23,130, , , , ,"Siddharth Nagar-Worli, Mumbai"
2022-03-28, ,70,22,4,7,"Siddharth Nagar-Worli, Mumbai"
2022-03-29,126,35,13,4,7,"Siddharth Nagar-Worli, Mumbai"
2022-03-30,76,72,11,4,7,"Siddharth Nagar-Worli, Mumbai"
2022-03-31,107,61,17,4,7,"Siddharth Nagar-Worli, Mumbai"
2022-04-01,130,60,9,19,7,"Siddharth Nagar-Worli, Mumbai"
2022-04-02,127,48,18,4,8,"Siddharth Nagar-Worli, Mumbai"
2022-04-03,103,43,18,19,8,"Siddharth Nagar-Worli, Mumbai"
2022-04-04,95,57,21,4,6,"Siddharth Nagar-Worli, Mumbai"
2022-04-05,99,37,21,4,5,"Siddharth Nagar-Worli, Mumbai"
2022-04-06,78,39,28,19,6,"Siddharth Nagar-Worli, Mumbai"
2022-04-07,89,36,25,18,6,"Siddharth Nagar-Worli, Mumbai"
2022-04-08,78,39,21,4,6,"Siddharth Nagar-Worli, Mumbai"
2022-04-09,82,37,11,19,5,"Siddharth Nagar-Worli, Mumbai"
2022-04-10,73,52,25,4,5,"Siddharth Nagar-Worli, Mumbai"
2022-04-11,95,31,17,4,6,"Siddharth Nagar-Worli, Mumbai"
2022-04-12,71,45,22,4,7,"Siddharth Nagar-Worli, Mumbai"
2022-04-13,92,34,13,19,6,"Siddharth Nagar-Worli, Mumbai"
2022-04-14,71,47,21,4,7,"Siddharth Nagar-Worli, Mumbai"
2022-04-15,97, , , , ,"Siddharth Nagar-Worli, Mumbai"
2022-04-17, ,31,23,4,5,"Siddharth Nagar-Worli, Mumbai"
2022-04-18,63,40,11,4,6,"Siddharth Nagar-Worli, Mumbai"
2022-04-19,84,29,10,4,6,"Siddharth Nagar-Worli, Mumbai"
2022-04-20,67, , , , ,"Siddharth Nagar-Worli, Mumbai"
2022-04-28, ,42,10,4,7,"Siddharth Nagar-Worli, Mumbai"
2022-04-29,90,35,21,19,8,"Siddharth Nagar-Worli, Mumbai"
2022-04-30,78,29,14,4,7,"Siddharth Nagar-Worli, Mumbai"
2022-05-01,69,35,15,19,7,"Siddharth Nagar-Worli, Mumbai"
